Time,altitude via coords,altitude via ecc ano,altitude via true ano
634,538548.685615,538548.685615,538548.685615
635,538554.683211,538554.683211,538554.683211
636,538560.714958,538560.714958,538560.714958
637,538566.780848,538566.780848,538566.780848
638,538572.880874,538572.880874,538572.880874
639,538579.015028,538579.015028,538579.015028
640,538585.183302,538585.183302,538585.183302
641,538591.385690,538591.385690,538591.385690
642,538597.622184,538597.622184,538597.622184
643,538603.892775,538603.892775,538603.892775
644,538610.197457,538610.197457,538610.197457
645,538616.536222,538616.536222,538616.536222
646,538622.909061,538622.909061,538622.909061
647,538629.315967,538629.315967,538629.315967
648,538635.756933,538635.756933,538635.756933
649,538642.231950,538642.231950,538642.231950
650,538648.741010,538648.741010,538648.741010
651,538655.284106,538655.284106,538655.284106
652,538661.861229,538661.861229,538661.861229
653,538668.472372,538668.472372,538668.472372
654,538675.117526,538675.117526,538675.117526
655,538681.796683,538681.796683,538681.796683
656,538688.509835,538688.509835,538688.509835
657,538695.256974,538695.256974,538695.256974
658,538702.038092,538702.038092,538702.038092
659,538708.853180,538708.853180,538708.853180
660,538715.702230,538715.702230,538715.702230
661,538722.585233,538722.585233,538722.585233
662,538729.502182,538729.502182,538729.502182
663,538736.453067,538736.453067,538736.453067
664,538743.437880,538743.437880,538743.437880
665,538750.456613,538750.456613,538750.456613
666,538757.509258,538757.509258,538757.509258
667,538764.595804,538764.595804,538764.595804
668,538771.716244,538771.716244,538771.716244
669,538778.870570,538778.870570,538778.870570
670,538786.058772,538786.058772,538786.058772
671,538793.280841,538793.280841,538793.280841
672,538800.536769,538800.536769,538800.536769
673,538807.826547,538807.826547,538807.826547
674,538815.150165,538815.150165,538815.150165
675,538822.507616,538822.507616,538822.507616
676,538829.898889,538829.898889,538829.898889
677,538837.323977,538837.323977,538837.323977
678,538844.782869,538844.782869,538844.782869
679,538852.275557,538852.275557,538852.275557
680,538859.802032,538859.802032,538859.802032
681,538867.362284,538867.362284,538867.362284
682,538874.956304,538874.956304,538874.956304
683,538882.584083,538882.584083,538882.584083
684,538890.245611,538890.245611,538890.245611
685,538897.940879,538897.940879,538897.940879
686,538905.669878,538905.669878,538905.669878
687,538913.432599,538913.432599,538913.432599
688,538921.229031,538921.229031,538921.229031
689,538929.059165,538929.059165,538929.059165
690,538936.922992,538936.922992,538936.922992
