Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
458,425417.591161,421983.877103,425417.591161,425417.591161
459,425422.297519,421984.331869,425422.297519,425422.297519
460,425427.002513,421984.782645,425427.002513,425427.002513
461,425431.706138,421985.229425,425431.706138,425431.706138
462,425436.408387,421985.672204,425436.408387,425436.408387
463,425441.109255,421986.110975,425441.109255,425441.109255
464,425445.808736,421986.545733,425445.808736,425445.808736
465,425450.506824,421986.976471,425450.506824,425450.506824
466,425455.203512,421987.403184,425455.203512,425455.203512
467,425459.898796,421987.825866,425459.898796,425459.898796
468,425464.592668,421988.244511,425464.592668,425464.592668
469,425469.285123,421988.659112,425469.285123,425469.285123
470,425473.976155,421989.069664,425473.976155,425473.976155
471,425478.665758,421989.476161,425478.665758,425478.665758
472,425483.353926,421989.878598,425483.353926,425483.353926
473,425488.040653,421990.276967,425488.040653,425488.040653
474,425492.725933,421990.671263,425492.725933,425492.725933
475,425497.409761,421991.061480,425497.409761,425497.409761
476,425502.092130,421991.447613,425502.092130,425502.092130
477,425506.773034,421991.829655,425506.773034,425506.773034
478,425511.452467,421992.207600,425511.452467,425511.452467
479,425516.130424,421992.581443,425516.130424,425516.130424
480,425520.806899,421992.951177,425520.806899,425520.806899
481,425525.481885,421993.316797,425525.481885,425525.481885
482,425530.155377,421993.678297,425530.155377,425530.155377
483,425534.827368,421994.035670,425534.827368,425534.827368
484,425539.497853,421994.388911,425539.497853,425539.497853
485,425544.166827,421994.738015,425544.166827,425544.166827
486,425548.834282,421995.082974,425548.834282,425548.834282
487,425553.500213,421995.423783,425553.500213,425553.500213
488,425558.164614,421995.760436,425558.164614,425558.164614
489,425562.827479,421996.092928,425562.827479,425562.827479
490,425567.488803,421996.421252,425567.488803,425567.488803
491,425572.148579,421996.745403,425572.148579,425572.148579
492,425576.806801,421997.065374,425576.806801,425576.806801
493,425581.463464,421997.381160,425581.463464,425581.463464
494,425586.118561,421997.692754,425586.118561,425586.118561
