Time,altitude via coords,altitude via ecc ano,altitude via true ano
466,6792453.058096,6798565.309272,6798565.309272
467,6792449.775094,6798568.592273,6798568.592273
468,6792446.495977,6798571.871391,6798571.871391
469,6792443.220748,6798575.146620,6798575.146620
470,6792439.949411,6798578.417956,6798578.417956
471,6792436.681971,6798581.685396,6798581.685396
472,6792433.418432,6798584.948936,6798584.948936
473,6792430.158797,6798588.208570,6798588.208570
474,6792426.903072,6798591.464295,6798591.464295
475,6792423.651260,6798594.716108,6798594.716108
476,6792420.403365,6798597.964003,6798597.964003
477,6792417.159391,6798601.207977,6798601.207977
478,6792413.919343,6798604.448025,6798604.448025
479,6792410.683224,6798607.684143,6798607.684143
480,6792407.451039,6798610.916328,6798610.916328
481,6792404.222792,6798614.144576,6798614.144576
482,6792400.998487,6798617.368881,6798617.368881
483,6792397.778127,6798620.589240,6798620.589240
484,6792394.561718,6798623.805650,6798623.805650
485,6792391.349262,6798627.018105,6798627.018105
486,6792388.140765,6798630.226602,6798630.226602
487,6792384.936230,6798633.431137,6798633.431137
488,6792381.735662,6798636.631706,6798636.631706
489,6792378.539064,6798639.828304,6798639.828304
490,6792375.346440,6798643.020928,6798643.020928
491,6792372.157794,6798646.209573,6798646.209573
492,6792368.973131,6798649.394236,6798649.394236
493,6792365.792455,6798652.574913,6798652.574913
494,6792362.615769,6798655.751599,6798655.751599
495,6792359.443077,6798658.924290,6798658.924290
496,6792356.274385,6798662.092983,6798662.092983
497,6792353.109694,6798665.257673,6798665.257673
498,6792349.949011,6798668.418357,6798668.418357
499,6792346.792338,6798671.575030,6798671.575030
500,6792343.639679,6798674.727688,6798674.727688
501,6792340.491040,6798677.876328,6798677.876328
502,6792337.346422,6798681.020945,6798681.020945
503,6792334.205832,6798684.161536,6798684.161536
504,6792331.069272,6798687.298096,6798687.298096
505,6792327.936746,6798690.430621,6798690.430621
506,6792324.808259,6798693.559108,6798693.559108
507,6792321.683814,6798696.683553,6798696.683553
508,6792318.563416,6798699.803951,6798699.803951
509,6792315.447068,6798702.920299,6798702.920299
510,6792312.334775,6798706.032593,6798706.032593
511,6792309.226539,6798709.140828,6798709.140828
512,6792306.122366,6798712.245001,6798712.245001
513,6792303.022259,6798715.345108,6798715.345108
514,6792299.926222,6798718.441145,6798718.441145
515,6792296.834259,6798721.533108,6798721.533108
516,6792293.746374,6798724.620993,6798724.620993
517,6792290.662571,6798727.704797,6798727.704797
518,6792287.582853,6798730.784514,6798730.784514
519,6792284.507225,6798733.860142,6798733.860142
520,6792281.435690,6798736.931677,6798736.931677
521,6792278.368253,6798739.999114,6798739.999114
522,6792275.304917,6798743.062450,6798743.062450
523,6792272.245687,6798746.121681,6798746.121681
524,6792269.190565,6798749.176803,6798749.176803
525,6792266.139556,6798752.227811,6798752.227811
526,6792263.092664,6798755.274703,6798755.274703
527,6792260.049893,6798758.317475,6798758.317475
528,6792257.011246,6798761.356122,6798761.356122
529,6792253.976727,6798764.390641,6798764.390641
530,6792250.946340,6798767.421027,6798767.421027
531,6792247.920090,6798770.447278,6798770.447278
532,6792244.897979,6798773.469388,6798773.469388
533,6792241.880012,6798776.487355,6798776.487355
534,6792238.866193,6798779.501175,6798779.501175
535,6792235.856525,6798782.510843,6798782.510843
536,6792232.851011,6798785.516356,6798785.516356
537,6792229.849657,6798788.517710,6798788.517710
538,6792226.852466,6798791.514902,6798791.514902
539,6792223.859441,6798794.507927,6798794.507927
540,6792220.870586,6798797.496781,6798797.496781
541,6792217.885906,6798800.481462,6798800.481462
542,6792214.905403,6798803.461964,6798803.461964
543,6792211.929082,6798806.438285,6798806.438285
544,6792208.956946,6798809.410421,6798809.410421
545,6792205.989000,6798812.378367,6798812.378367
546,6792203.025247,6798815.342121,6798815.342121
547,6792200.065690,6798818.301678,6798818.301678
548,6792197.110333,6798821.257034,6798821.257034
549,6792194.159181,6798824.208186,6798824.208186
550,6792191.212237,6798827.155130,6798827.155130
551,6792188.269505,6798830.097863,6798830.097863
552,6792185.330987,6798833.036380,6798833.036380
553,6792182.396689,6798835.970678,6798835.970678
554,6792179.466614,6798838.900753,6798838.900753
555,6792176.540765,6798841.826602,6798841.826602
556,6792173.619147,6798844.748221,6798844.748221
557,6792170.701762,6798847.665605,6798847.665605
558,6792167.788615,6798850.578752,6798850.578752
559,6792164.879710,6798853.487658,6798853.487658
560,6792161.975049,6798856.392318,6798856.392318
561,6792159.074637,6798859.292730,6798859.292730
562,6792156.178478,6798862.188890,6798862.188890
563,6792153.286574,6798865.080793,6798865.080793
564,6792150.398930,6798867.968437,6798867.968437
565,6792147.515550,6798870.851818,6798870.851818
566,6792144.636436,6798873.730931,6798873.730931
567,6792141.761593,6798876.605774,6798876.605774
568,6792138.891025,6798879.476343,6798879.476343
569,6792136.024734,6798882.342633,6798882.342633
570,6792133.162725,6798885.204642,6798885.204642
571,6792130.305001,6798888.062366,6798888.062366
572,6792127.451566,6798890.915801,6798890.915801
573,6792124.602423,6798893.764944,6798893.764944
574,6792121.757577,6798896.609791,6798896.609791
575,6792118.917030,6798899.450338,6798899.450338
576,6792116.080786,6798902.286582,6798902.286582
577,6792113.248849,6798905.118519,6798905.118519
578,6792110.421222,6798907.946146,6798907.946146
579,6792107.597909,6798910.769458,6798910.769458
580,6792104.778914,6798913.588453,6798913.588453
581,6792101.964240,6798916.403128,6798916.403128
582,6792099.153891,6798919.213477,6798919.213477
583,6792096.347869,6798922.019498,6798922.019498
584,6792093.546180,6798924.821187,6798924.821187
585,6792090.748826,6798927.618541,6798927.618541
586,6792087.955811,6798930.411556,6798930.411556
587,6792085.167138,6798933.200229,6798933.200229
588,6792082.382812,6798935.984556,6798935.984556
589,6792079.602834,6798938.764533,6798938.764533
590,6792076.827210,6798941.540157,6798941.540157
591,6792074.055942,6798944.311425,6798944.311425
592,6792071.289035,6798947.078333,6798947.078333
593,6792068.526491,6798949.840877,6798949.840877
594,6792065.768313,6798952.599054,6798952.599054
595,6792063.014507,6798955.352861,6798955.352861
596,6792060.265074,6798958.102293,6798958.102293
597,6792057.520019,6798960.847348,6798960.847348
598,6792054.779345,6798963.588023,6798963.588023
599,6792052.043055,6798966.324312,6798966.324312
600,6792049.311153,6798969.056214,6798969.056214
